Date,Cash,Equity,OpenPositions
2000-06-16,8546.437131754556,87506.14362990062,6
2000-06-19,8546.437131754556,88494.53645073573,6
2000-06-20,8546.437131754556,92444.04318033854,6
2000-06-21,8546.437131754556,91062.64143215815,6
2000-06-22,1633.7652985870545,90326.05652092096,13
2000-06-23,89185.14879827043,89185.14879827043,0
2000-06-26,8615.076565388894,88864.15249455378,6
2000-06-27,654.6277957381544,87165.78340618032,13
2000-06-28,634.0299015451919,85665.74855176701,13
2000-06-29,613.4320073522294,83651.86569992673,13
2000-06-30,592.834113159267,85969.63686887272,13
2000-07-03,572.2362189663045,83429.05239430792,13
2000-07-04,551.638324773342,79685.49565855268,13
2000-07-05,531.0404305803795,79967.00866070867,13
2000-07-06,79722.29891239954,79722.29891239954,0
2000-07-07,79722.29891239954,79722.29891239954,0
2000-07-10,4716.741265167467,79423.47198950218,15
2000-07-11,4716.741265167467,79982.38992391991,15
2000-07-12,4716.741265167467,79880.37973486351,15
2000-07-13,4716.741265167467,79849.47175966667,15
2000-07-14,54375.37149552698,79920.79848245974,9
2000-07-17,54369.28925100628,79464.71291676823,9
2000-07-18,586.9516938459192,79465.17884452455,14
2000-07-19,78733.70048611183,78733.70048611183,0
2000-07-20,78733.70048611183,78733.70048611183,0
2000-07-21,78733.70048611183,78733.70048611183,0
2000-07-24,5860.338628731927,78443.36836715814,12
2000-07-25,37520.23149168923,79437.11773229076,12
2000-07-26,2100.658166787293,80742.37694074836,22
2000-07-27,78255.36800749888,78255.36800749888,0
2000-07-28,78255.36800749888,78255.36800749888,0
2000-07-31,78255.36800749888,78255.36800749888,0
2000-08-01,78255.36800749888,78255.36800749888,0
2000-08-02,78255.36800749888,78255.36800749888,0
2000-08-03,78255.36800749888,78255.36800749888,0
2000-08-04,78255.36800749888,78255.36800749888,0
2000-08-07,78255.36800749888,78255.36800749888,0
2000-08-08,3188.7656278535324,77956.2978784963,10
2000-08-09,3188.7656278535324,77887.41503452505,10
2000-08-10,77019.31152024568,77019.31152024568,0
2000-08-11,2735.9882093273573,76723.36202498307,10
2000-08-14,76343.01401199259,76343.01401199259,0
2000-08-15,2632.850386565341,76049.34802145304,10
2000-08-16,2632.850386565341,77377.96168953719,10
2000-08-17,2632.850386565341,77047.06068355383,10
2000-08-18,2632.850386565341,76739.47174519839,10
2000-08-21,2632.850386565341,77121.54935986342,10
2000-08-22,2632.850386565341,77024.33281916918,10
2000-08-23,2632.850386565341,78198.48236090483,10
2000-08-24,2632.850386565341,79234.17324811759,10
2000-08-25,2632.850386565341,79906.84043795409,10
2000-08-28,2632.850386565341,79024.65136963667,10
2000-08-29,2632.850386565341,79209.76010448279,10
2000-08-30,2632.850386565341,78941.26686698737,10
2000-08-31,2632.850386565341,79305.93760759177,10
2000-09-01,2632.850386565341,79305.93760759177,10
2000-09-04,2632.850386565341,79607.8407575542,10
2000-09-05,2632.850386565341,80192.33894509615,10
2000-09-06,2632.850386565341,81393.10791284384,10
2000-09-07,2632.850386565341,81498.08995396437,10
2000-09-08,2632.850386565341,81367.16859549822,10
2000-09-11,2632.850386565341,81216.51277620139,10
2000-09-12,2632.850386565341,80229.19588906111,10
2000-09-13,81382.76110017026,81382.76110017026,0
2000-09-14,3614.5472609721564,81072.92757889857,8
2000-09-15,3614.5472609721564,79277.76625642409,8
2000-09-18,3614.5472609721564,77308.22549721827,8
2000-09-19,3614.5472609721564,76201.92593512168,8
