File,Total trades,Winning trades,Losing trades,Win rate,Average return per trade,Median return per trade,Max return,Min return,Average trade duration (days),Median trade duration (days),Max trade duration (days),Min trade duration (days),Total cumulative return,Maximum drawdown,Profit factor,Expectancy,Return volatility (std dev)
TATACONSUM_ohlcv.csv,182,131,51,0.7197802197802198,0.15855068456412405,0.11955316057854223,1.259586422727937,-0.5119588949751477,160.65934065934067,158.0,446,9,1543209201.147565,14.943774192669792,5.148129669293722,0.06969260859961496,0.2962312570006251
UPL_ohlcv.csv,121,87,34,0.71900826446281,0.2368048087518719,0.10421395921667174,2.402009259426274,-0.31730298811980706,128.49586776859505,109.0,371,8,332008064.2507318,26.862400745703496,9.590131102862648,0.10372442036239019,0.45837013915103964
HEROMOTOCO_ohlcv.csv,131,94,37,0.7175572519083969,0.12629390434346813,0.06766808549139747,1.4898206900398374,-0.377154679107512,178.1145038167939,115.0,538,11,215975.94170063033,19.224603827064957,4.703768625992121,0.05495230952349375,0.2754203278658034
ICICIPRULI_ohlcv.csv,49,35,14,0.7142857142857143,0.09634191812270025,0.08335903026391323,0.6877580394876607,-0.21361505452050444,75.9795918367347,76.0,160,16,46.13668806864371,1.1173941175592488,4.481516556088083,0.04128939348115725,0.18715421937830384
M&M_ohlcv.csv,155,109,46,0.7032258064516129,0.12621293744515175,0.07838152688151548,1.7406930937065834,-0.6284319624870905,114.06451612903226,87.0,339,8,127542.69149097528,44.021144588488056,3.489119474468802,0.05129945199383587,0.3541503435369786
JSWSTEEL_ohlcv.csv,142,99,43,0.6971830985915493,0.16713334446962977,0.141255519621927,1.3961940163829885,-0.7453866982875967,127.77464788732394,109.0,285,16,2956927.9755484727,20.80022232936013,3.797649250131615,0.06591174148098075,0.3511197724469783
ADANIENT_ohlcv.csv,124,86,38,0.6935483870967742,0.5731986225905565,0.14240035721457323,18.402704822502916,-0.5569048853572086,118.4758064516129,101.5,326,8,525239504099.0885,425593.66101324063,12.68451354039694,0.22188333777698968,2.329678620574486
INDUSINDBK_ohlcv.csv,115,78,37,0.6782608695652174,0.15169630466512193,0.08008150643303273,1.6234679182627076,-0.6746648492284704,147.89565217391305,137.0,413,5,30632.61135624893,145.57589331661114,3.364499415390978,0.05408303035886955,0.37456255357448165
SBIN_ohlcv.csv,165,111,54,0.6727272727272727,0.09748673466710422,0.07100270219094798,0.9885471774708054,-0.4376881422822587,122.58181818181818,109.0,378,2,97685.96823310055,14.818281672929999,3.1252070225206636,0.03367723561227237,0.24163131637361981
GRASIM_ohlcv.csv,128,86,42,0.671875,0.10734024223801604,0.05928310917829408,1.3312946090581843,-0.6802882002780674,115.8203125,106.0,258,8,5296.1792241155335,21.30019323070727,3.2161987628865067,0.036898208269318014,0.2996033064259973
WIPRO_ohlcv.csv,175,114,61,0.6514285714285715,0.13871352123217787,0.05684439186496678,2.5322662678686427,-0.7521914540481004,110.94285714285714,91.0,401,5,168958.82078430866,349.25379183378277,3.240498215506651,0.042010380716031026,0.4689554147021347
NTPC_ohlcv.csv,134,87,47,0.6492537313432836,0.19050759192821018,0.09259333643219356,1.4314978229159065,-0.275208440057316,383.5820895522388,460.0,760,11,81471677.37910528,2.784202258180785,6.152568756884963,0.05686793788901795,0.3587877728918926
INFY_ohlcv.csv,151,98,53,0.6490066225165563,0.06731164334750467,0.05423768821386083,1.0406516667390044,-0.6015129924805281,103.41059602649007,82.0,381,7,448.1054011865141,1241.4671707993466,2.3781974451558363,0.02005976126250139,0.2388328423115331
COALINDIA_ohlcv.csv,89,57,32,0.6404494382022472,0.09762767594201002,0.05715822946982056,0.7816330378672488,-0.46261116900823535,220.74157303370785,188.0,499,13,230.1379028835589,1.3788204299915874,2.7721617145034827,0.0274235044780927,0.2806361286061165
TATASTEEL_ohlcv.csv,183,117,66,0.639344262295082,0.2869855518036135,0.11578084185238793,3.527001952761498,-0.8029753838904802,287.6448087431694,176.0,834,16,160548521871.92834,16.738370555679136,4.70657483019385,0.07997958001084314,0.6731982570608784
GAIL_ohlcv.csv,144,92,52,0.6388888888888888,0.07166355158440801,0.05812647378189882,0.9129267532481685,-0.45033607342526794,102.04861111111111,88.0,526,8,1395.6071232698705,6.844587546578604,2.5770097062719692,0.019906542106779997,0.21404040192338436
VOLTAS_ohlcv.csv,124,79,45,0.6370967741935484,0.20620669777642375,0.11016570983025357,2.863807519676067,-0.8024945929312133,132.68548387096774,119.5,354,9,402585.117685322,4741.9639751239765,4.066939242516146,0.05654054616450327,0.548179314222853
HINDALCO_ohlcv.csv,165,103,62,0.6242424242424243,0.15340419305928793,0.05949728877046043,2.055567888500011,-0.6195194337089263,120.2,116.0,285,6,418748.9006566365,4.635543094988322,3.1752093204041953,0.03811861766927762,0.45105381640600045
AUROPHARMA_ohlcv.csv,177,110,67,0.6214689265536724,0.31370631840279123,0.11019557593081546,3.0566142835179657,-0.7484991274219356,221.89265536723164,228.0,413,4,202670976174.83167,158.02860682858943,4.393945982899783,0.07621113949898321,0.7061298785733973
ONGC_ohlcv.csv,161,97,64,0.6024844720496895,0.034151599987248,0.04704281974295729,0.778609615554959,-0.4610329661015926,110.83229813664596,99.0,371,4,3.318493593657026,13.25481983652479,1.4906742749219284,0.007000017388690586,0.22636204497388787
TECHM_ohlcv.csv,104,61,43,0.5865384615384616,0.08196654454973587,0.06059392732805667,0.9288032787351745,-0.6556147671318353,164.05769230769232,152.0,397,7,82.36692497881302,6.8656192836235395,2.276551447029735,0.014186517325915832,0.28285352159982363
TATAMOTORS_ohlcv.csv,220,120,100,0.5454545454545454,0.13331553261032852,0.060027058499487404,3.9702755348197227,-0.7499858023735289,248.8590909090909,210.5,614,4,-0.6630976854875665,30.577236745094737,1.954202436011981,0.012119593873666214,0.5997875031896588
