Stock,Total Return,CAGR,Sharpe Ratio,Max Drawdown,Avg Daily Return,Daily Return Std
COLPAL_ohlcv,46.473675375422324,0.18268676731017774,0.8128034446840646,0.38275595663859896,0.000795267040422475,0.01553201204009714
PETRONET_ohlcv,44.64599172510573,0.19678125655387402,0.6925472249302832,0.2614525857219416,0.0009746282042030273,0.022340343788081196
BPCL_ohlcv,42.047038460276795,0.1360233687449266,0.3415172276396135,0.3458878490128608,0.0013738720392603712,0.06386073887219301
AMBUJACEM_ohlcv,40.04364238166768,0.17522858106777717,0.3298692511097364,0.36774746794897784,0.001861312823675626,0.08957314136387116
TATAMOTORS_ohlcv,37.191275805412985,0.11135930151179219,0.45627529668014183,0.5010113132289329,0.0008150397965781363,0.02835646758949691
M&M_ohlcv,33.31915317531736,0.12731854831456468,0.48864375589839537,0.3374089238563629,0.0015621569423053042,0.05074959491411952
DRREDDY_ohlcv,29.65334611718604,0.12301050918933587,0.48016401310780954,0.3257026993427334,0.0007462258969328127,0.024670671994534297
JSWSTEEL_ohlcv,22.97276394235864,0.15418805218471743,0.5467103280816594,0.4356010649080974,0.0009798459499845754,0.028451213452391207
SBIN_ohlcv,20.534829427619428,0.10965127683933984,0.4726138556297587,0.37417231321972483,0.000655366177563288,0.02201292961931875
MUTHOOTFIN_ohlcv,17.896871861690126,0.23066396782696486,0.752452632477176,0.2568753202340754,0.0011159675481590596,0.023543589134059642
TATASTEEL_ohlcv,15.133118960160363,0.09884220211541761,0.636862989819374,0.5996726064061665,0.01555877258494949,0.3878194552664551
ONGC_ohlcv,12.212137700550077,0.09142807440637113,0.41697763363825596,0.49965716252650366,0.0008513970996254256,0.032413033374227886
HEROMOTOCO_ohlcv,9.473918449488435,0.10749225428836295,0.49486055082046865,0.4333719276576828,0.0005884655318680294,0.018877238646824404
HINDALCO_ohlcv,6.821972717093332,0.07220726847829306,0.3762265791021217,0.34297803810269567,0.0006091934838806537,0.02570431566821998
ADANIPORTS_ohlcv,6.727439582584863,0.12320676110492834,0.4962484840662102,0.33776690446363006,0.0007988351396379951,0.025553961604521926
GAIL_ohlcv,6.453325949383534,0.07368674765543548,0.2871014912545011,0.7181460060651637,0.0010299190396727677,0.05694661433344727
NTPC_ohlcv,5.607203822800452,0.09571266640905196,0.4675040502126754,0.3230229390342156,0.0005360868291317576,0.01820329595486381
DMART_ohlcv,5.443443738303092,0.252171176756939,0.8989362759792322,0.38823504372971884,0.0010974691338335508,0.01938044204432653
ULTRACEMCO_ohlcv,5.330343801162043,0.08395268171717896,0.4602412455809777,0.24026696372929401,0.0006130794932346416,0.02114616047892179
NESTLEIND_ohlcv,4.456064395686134,0.07693763766572026,0.4736213660268689,0.21977866569889018,0.00040487533580703676,0.013570326771977774
POWERGRID_ohlcv,3.3744147982485533,0.0867267421169089,0.4422739516640777,0.29559044587608396,0.0004972971299025044,0.017849450936159323
GRASIM_ohlcv,3.007918777939685,0.06220134417393064,0.2555079069483519,0.8809799109061605,0.0012156741080139252,0.07552888840552258
TECHM_ohlcv,2.7800534647754875,0.073101443643941,0.37987337561094214,0.46567189552515853,0.0005291360151769062,0.022112036206290007
INDIGO_ohlcv,2.6555998922687416,0.14383982699873177,0.5607413427604878,0.19528772363411892,0.0008060581994480161,0.02281939327838938
BAJAJFINSV_ohlcv,2.4326419322597364,0.055355828294748166,0.48998962686422626,0.997272814192293,0.0008376162878101507,0.027136791517304987
COALINDIA_ohlcv,1.9996391370700177,0.07780347880019378,0.41472968551137346,0.27791527120173476,0.00045472633031801054,0.017405449766119623
SBILIFE_ohlcv,1.6590991584783028,0.13453466395396618,0.6129761352932501,0.27008955818417657,0.0006562411676994175,0.016994961107104075
ICICIPRULI_ohlcv,1.0343325952223892,0.0844623515342473,0.4170953199624459,0.41927868461855766,0.0005367004471287486,0.020426638857051035
HDFCLIFE_ohlcv,0.6291592541161504,0.06610212481394462,0.3737270717432902,0.435908754102319,0.0004152095717342394,0.017636527056894762
